Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,HOU31.0,WSN9.5,WSN14.6,CHC1.5,HOU22.9,SEA1.9,OAK3.2,STL4.0,OAK6.0,OAK6.4,NYY2.7,LAA5.6,LAD5.3,NYY9.0,MIN2.9,LAD1.2
2,LAD20.4,HOU8.1,NYM9.6,OAK1.1,LAD18.7,PHI1.9,LAD3.0,ATL3.1,HOU4.4,HOU5.1,WSN2.6,OAK2.7,MIL4.7,LAD7.7,HOU2.8,MIN0.6
3,OAK17.5,CHC7.9,HOU9.0,CHW0.9,NYY14.6,MIN1.9,NYM2.9,ARI2.5,COL4.4,CHC3.6,HOU2.2,MIN2.7,BOS4.0,HOU6.5,TBR1.0,NYY0.5
4,NYY15.0,NYM7.8,TEX7.1,SFG0.8,OAK13.0,CLE1.7,CHC1.9,LAD2.2,WSN4.3,COL3.6,TBR1.8,ARI2.6,NYY4.0,MIL5.5,LAA0.9,HOU0.4
5,WSN14.8,TEX7.5,CHC6.7,BOS0.8,MIN13.0,HOU1.5,ATL1.8,NYY1.9,ATL3.5,BOS3.4,LAD0.9,HOU2.5,PHI2.0,LAA4.7,KCR0.5,TBR0.0
6,MIN13.5,TBR5.1,CIN5.9,TEX0.5,ARI7.5,NYY1.1,CLE1.3,HOU1.8,NYY2.7,STL3.0,TEX0.3,NYY2.3,HOU1.8,WSN3.9,BOS0.3,CLE-0.2
7,CHC11.4,OAK4.5,LAD5.4,TOR0.3,STL7.1,ARI1.0,ARI0.7,TOR1.2,LAD2.7,SDP3.0,CHC0.2,WSN1.7,NYM1.5,MIN3.7,TEX0.2,ARI-0.2
8,TBR9.8,BOS3.8,TBR5.1,TBR0.1,ATL7.1,CHC0.7,HOU0.4,BAL1.2,CHW2.4,ARI2.6,NYM0.2,ATL1.5,MIN1.2,BOS3.7,LAD0.1,STL-0.3
9,STL9.1,CLE3.3,ATL4.7,NYY-0.1,WSN5.3,CHW0.7,SEA0.4,TBR0.8,BOS2.3,MIN2.3,OAK-0.1,LAD1.5,TBR0.9,TBR3.2,MIL0.1,OAK-0.3
10,NYM8.5,CIN3.1,CLE4.4,HOU-0.4,TBR4.7,MIL0.5,PIT0.3,MIL0.8,CIN1.6,TOR2.0,PHI-0.1,PIT1.2,CLE0.3,OAK2.7,CHC0.1,SEA-0.4
11,BOS8.2,STL2.0,STL3.5,CLE-0.9,BOS4.4,LAD0.2,TBR0.3,LAA0.7,CHC1.4,TBR2.0,STL-0.1,TEX1.1,LAA0.3,PHI1.8,WSN0.1,TEX-0.4
12,ATL7.6,LAD1.7,OAK3.3,MIN-1.3,CHC3.5,STL-0.2,NYY0.3,MIN0.3,MIN1.3,CLE1.6,MIL-0.1,MIL0.9,KCR0.2,ATL1.3,ATL0.1,ATL-0.5
13,CLE5.7,MIN0.5,BOS3.2,STL-1.4,CLE2.4,CIN-0.2,STL0.1,PIT-0.2,CLE1.0,LAD1.6,PIT-0.2,STL0.8,CHC0.2,TEX0.4,PHI0.0,WSN-0.7
14,ARI2.8,ATL0.5,MIL3.1,PHI-1.6,MIL1.8,MIA-0.4,MIN0.0,WSN-0.5,SFG0.9,CHW1.4,ATL-0.2,TBR0.5,OAK0.1,ARI0.1,PIT0.0,MIL-0.7
15,MIL1.0,NYY0.4,MIN1.6,DET-1.8,LAA1.1,TOR-0.6,CIN-0.1,PHI-0.5,ARI0.9,PIT0.5,MIN-0.2,BOS0.4,CIN0.1,NYM0.0,NYM0.0,LAA-0.7
16,TEX-1.9,MIL-0.8,ARI0.9,CIN-2.2,NYM0.7,SFG-0.7,PHI-0.5,CLE-0.7,STL0.8,LAA0.5,ARI-0.3,PHI-0.1,ATL0.0,STL-0.2,MIA0.0,NYM-0.8
17,CIN-2.5,CHW-1.3,NYY0.8,LAA-2.4,PHI0.0,WSN-0.7,WSN-0.6,KCR-0.7,SEA0.6,NYM0.1,TOR-0.6,SDP-0.2,BAL0.0,CLE-1.0,CIN0.0,TOR-0.9
18,PHI-3.2,DET-1.4,DET0.5,COL-2.4,SEA-4.5,KCR-0.8,MIL-0.9,CHW-0.8,NYM0.5,ATL-0.1,BOS-0.7,CLE-0.6,COL-0.1,CHC-1.4,SDP-0.1,CHC-0.9
19,LAA-8.5,TOR-3.0,BAL0.1,ATL-2.7,CIN-5.6,BOS-0.9,SFG-1.2,NYM-0.8,MIA0.2,TEX-0.3,SFG-0.7,SFG-1.0,WSN-0.4,PIT-1.8,STL-0.1,SFG-0.9
20,CHW-9.9,PHI-3.2,SDP-0.3,NYM-2.9,COL-6.2,BAL-1.0,CHW-1.4,SEA-0.9,LAA-0.1,PHI-0.3,CLE-0.7,CHW-1.1,SDP-0.6,KCR-2.0,SFG-0.1,CIN-0.9
21,SEA-9.9,SFG-3.5,MIA-0.7,PIT-3.2,SDP-7.1,NYM-1.2,BOS-1.4,COL-1.5,SDP-0.1,NYY-0.4,KCR-0.8,CIN-1.4,STL-0.9,SDP-2.4,ARI-0.1,KCR-1.0
22,TOR-10.5,SDP-4.5,COL-1.3,SDP-3.5,TOR-7.5,COL-1.4,MIA-1.4,SDP-1.6,KCR-0.2,MIA-0.5,LAA-1.2,KCR-1.4,MIA-0.9,SFG-2.6,COL-0.2,BOS-1.1
23,COL-10.8,COL-4.6,SEA-1.5,MIL-3.7,SFG-7.9,OAK-1.4,TEX-1.7,OAK-1.7,BAL-0.9,WSN-0.5,SEA-1.3,NYM-1.7,SFG-0.9,CIN-3.1,SEA-0.2,PHI-1.2
24,SFG-11.4,ARI-4.7,PHI-1.8,SEA-4.2,PIT-8.2,PIT-1.6,BAL-2.0,SFG-1.9,TBR-1.0,KCR-0.6,SDP-1.6,CHC-1.8,SEA-1.0,BAL-4.3,NYY-0.5,SDP-1.5
25,SDP-11.6,SEA-5.4,CHW-2.0,WSN-4.3,CHW-8.6,TBR-1.6,TOR-2.0,CHC-1.9,MIL-1.1,SEA-0.8,CHW-1.7,TOR-1.9,TEX-1.0,TOR-4.8,TOR-0.9,BAL-1.6
26,PIT-16.2,BAL-6.2,KCR-3.0,KCR-4.6,KCR-8.9,SDP-2.1,LAA-2.1,TEX-1.9,PHI-1.2,CIN-0.8,CIN-1.8,BAL-1.9,ARI-2.2,SEA-5.1,CLE-1.3,CHW-1.6
27,KCR-16.6,MIA-7.0,TOR-3.3,ARI-4.8,TEX-9.4,ATL-2.1,DET-2.2,BOS-1.9,TOR-1.5,SFG-1.4,DET-2.2,DET-2.0,DET-2.3,COL-5.9,BAL-1.6,DET-1.8
28,BAL-17.8,KCR-7.7,SFG-4.1,LAD-4.9,BAL-11.6,LAA-2.8,SDP-2.3,MIA-2.0,TEX-1.9,BAL-1.4,BAL-2.4,SEA-2.8,TOR-2.3,DET-6.5,OAK-1.9,PIT-2.3
29,MIA-21.7,PIT-8.0,PIT-5.1,MIA-5.8,MIA-14.7,TEX-3.8,COL-2.4,CIN-2.1,DET-2.3,DET-1.8,COL-2.8,COL-3.0,PIT-2.8,CHW-6.7,CHW-2.6,COL-2.8
30,DET-26.0,LAA-9.6,LAA-7.0,BAL-6.2,DET-24.6,DET-4.1,KCR-4.1,DET-3.2,PIT-3.1,MIL-2.4,MIA-3.3,MIA-3.5,CHW-3.9,MIA-7.7,DET-2.7,MIA-2.9
AVG,-0.1,-0.2,2,-2,0.1,-0.5,-0.3,-0.1,0.9,1,-0.4,0.1,0.2,0,-0.1,-0.8
,,,,,,,,,,,,,,,,